"meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
5,2,30,8.1,NA,5,NA,2.33,1.5,NA,NA,3522,44000,0,0,1,5,2,1,1,0,1,NA,1420,7000,0,44000,0,0
8.3,NA,60,2.9,1,4,4,3.8,1,NA,NA,3865,74000,1,0,0,0,8,1,1,1,1,NA,1500,9000,0,6000,0,0
3.5,NA,10,3.4,NA,2,NA,2.8,1.7,0.2,0.5,1913,70954,0,0,1,4.5,3,1,1,0,1,NA,1000,3600,0,30954,0,0
1.8,NA,NA,3,NA,NA,NA,2.15,0.5,NA,9,1632,21500,0,0,0,0,2,1,1,0,1,NA,300,3800,46500,0,0,0
2.5,NA,NA,NA,2,1,NA,1.8,1,NA,0.5,1296,35000,1,1,0,0,1,1,1,1,1,3000,NA,NA,0,0,0,0
5.26,1,10,5.2,NA,9,0.5,1.6,1.7,2,NA,3116,72100,1,1,1,4,2,1,1,1,1,5600,NA,5100,0,25100,0,0
4.4,1,10,3.85,NA,8,2,3,2.5,0.2,NA,2513,45800,0,0,1,5.3,2,1,1,1,0,NA,100,4300,0,45800,0,0
3.3,NA,15,7.3,6.5,2,1,3,0.7,2,NA,2117,20000,0,0,0,0,1,1,1,1,0,NA,200,4500,0,0,0,0
0.34,NA,NA,0.25,NA,2,NA,3,0.4,0.15,3.5,1185,54573,0,1,1,4,2,1,1,0,0,1200,48,4000,0,54573,0,0
1.5,0.7,10,1.2,3.8,1,1,0.8,0.1,1.1,NA,964,36810,0,0,0,0,1,1,1,0,0,NA,NA,1900,0,36810,0,1
3.38,2,20,3.3,7,3,1,1.65,1,NA,NA,2144,24860,0,0,0,0,1,1,1,0,0,NA,480,3000,0,24860,0,0
4,2,10,4.19,NA,4,NA,2.95,0.9,NA,NA,2747,62500,1,1,1,5.5,2,1,1,1,1,5000,NA,4500,0,60000,0,1
