"","meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
"996",1.45,1.3,10,2.65,3,1.6,1.6,1.85,0.9,0.4,0,1626,58550,1,1,1,5.2,3,1,1,1,1,2000,0,7000,0,17150,0,0
"997",2.34,0,10,3.18,2.2,0,0.8,2.4,0.4,0,2.5,1788,69300,0,1,1,20,3,1,1,1,1,2800,500,6700,0,23900,0,0
"998",1,0,0,0.9,3.3,1,0.8,0.7,1,0.05,0,781,51200,1,1,0,0,1,1,1,0,1,2000,0,3900,0,25000,0,0
"999",1.2,0,10,2.15,3,1,0.8,0.7,0,0.1,0,906,16000,1,0,1,5.5,1,1,1,1,1,0,1000,4000,0,0,0,0
"1000",0.9,0,20,5.2,2.4,2,0.8,2.55,1.61,0.895,0,1783,126370,1,1,0,0,5,1,1,0,1,2200,0,8900,42000,73170,0,0
"1001",5.1,0.4,30,14.8,5.5,0,0.8,4.7,1.84,0.095,4.7,4069,105000,1,1,1,8,5,1,1,0,1,2500,690,6000,59000,44800,0,0
"1002",1.3,0,10,3,4,0.5,0.8,2.3,0.7,0,0,815,44800,0,0,0,0,4,1,1,0,1,0,400,9600,0,30200,0,1
"1003",0,1,0,0.9,0,1,0,0.9,0.2,0,0,504,20100,0,0,0,0,1,1,1,1,1,0,2800,4200,100000,12100,0,1
"1004",1,0,0,2.7,5,3.5,0,2.8,0.5,3,0,934,20184,1,0,0,0,1,1,1,0,1,0,880,2325.7,0,18784,0,0
"1005",2.738,0.23,10,0.5,0,0.6,0,1,1.1,2.15,0,1858,13000,0,1,0,0,1,1,1,0,0,430,100,0,0,0,0,0
"1006",6.2,1.2,20,6.5,1.3,10.35,0,1.6,1.1,2,1,4830,138300,1,1,0,0,3,1,1,1,1,5000,200,4000,120000,29800,0,0
"1007",0.28,0,0,2.85,3.3,0,1.4,4.1,0.9,0.4,0,1012,209437,1,0,1,3.76,3,1,1,1,1,0,660,6800,0,43537,0,0
"1008",1.2,0,0,2.15,1,1,0.8,1.4,0.09,1.05,2,1299,59700,1,1,1,6,2,1,1,0,1,3000,400,6000,110000,11500,0,0
"1009",2.7,0.8,0,4.9,1.2,1.5,0,1.2,2,2.75,8,4106,90000,1,0,0,0,1,1,1,1,1,2000,41000,8000,107000,0,0,0
"1010",1.7,0,10,3.95,0,2,0,1.9,0.6,0.1,0.5,2331,39200,0,0,1,13,2,1,1,1,1,0,300,4000,0,38000,0,1
"1011",2,0,10,3.6,0,0,1.6,2.2,2.65,0.095,3,1750,60600,0,0,0,0,3,1,1,0,1,0,1500,6000,3000,0,0,0
"1012",2,0.44,30,2.2,0,0,0,4.8,1,0.35,0,2129,8500,0,0,0,0,2,1,1,1,1,0,3230,5000,0,0,0,1
"1013",4,3,20,4.3,17,4,0.8,2,0,2.2,0,3480,83500,1,0,0,0,2,1,1,1,1,0,0,5500,0,0,0,0
"1014",3.6,0.8,10,4.38,0,1,0,2,1.3,0.1,0,2590,74270,1,0,1,6,2,1,1,0,1,0,1200,4500,0,31870,0,1
"1015",2,2.45,10,4.7,0.5,11.5,0,0.8,0.5,0.1,0.75,4552,65690,1,1,0,0,2,1,1,1,1,5000,0,4700,0,65690,0,0
"1016",1.8,0,0,2.8,8,2,0,0,0,0,0,917,85000,1,1,0,0,1,1,1,1,1,0,0,5000,0,0,0,0
